stable_sample_id,category,split,depth,player_layer_ids,dynamic_weights,deployment_weights
27132d1f08fb1ac31a64d08865646bb30bc979a0dcd45149b85c1c050d4a7ad4,carpet,calibration,24,"[6,12,18,24]","[0.3213936984539032,0.30310526490211487,0.18645073473453522,0.18905037641525269]","[0.2885526120662689,0.278676837682724,0.21568340063095093,0.21708720922470093]"
39e5843992fb7946bc422b00a9dd5221a9edb0e89be3d96dd70b46ba0c84e9db,bottle,calibration,24,"[6,12,18,24]","[0.1504461020231247,0.5413797497749329,0.1889711171388626,0.11920314282178879]","[0.19624090194702148,0.40734508633613586,0.2170444130897522,0.1793697029352188]"
470b6ac9a792158887fa97063a475003b459996806bbbc9a29dac172a63fb75a,bottle,calibration,24,"[6,12,18,24]","[0.12654103338718414,0.42769771814346313,0.3619789779186249,0.08378227055072784]","[0.183332160115242,0.3459567725658417,0.3104686439037323,0.16024243831634521]"
8f68b6aad99aa55fce3a1cebe2a63ead6f84fec6073c6ab86cc684409c6335a8,carpet,calibration,24,"[6,12,18,24]","[0.29781705141067505,0.3839067816734314,0.22276633977890015,0.09550990909337997]","[0.2758212089538574,0.322309672832489,0.23529383540153503,0.1665753573179245]"
b65ec198775f295af3078c1ba0d082e0c24f4cdde8cd4d8524e48bb3b1a75459,bottle,calibration,24,"[6,12,18,24]","[0.2688239812850952,0.2528827488422394,0.23939110338687897,0.2389022409915924]","[0.26016494631767273,0.2515566945075989,0.2442711889743805,0.24400722980499268]"
db65fd91e8de32de3d303f678c9a523e94f1109a6a92521c149e93ec629eecff,bottle,calibration,24,"[6,12,18,24]","[0.2777336537837982,0.27925893664360046,0.22551070153713226,0.21749672293663025]","[0.2649761736392975,0.2657998204231262,0.23677578568458557,0.23244823515415192]"
e037290913264076779a86b0f8f75b92f190f30563ceefe7b2193590d9d9c933,carpet,calibration,24,"[6,12,18,24]","[0.3652346134185791,0.26923277974128723,0.18596895039081573,0.17956367135047913]","[0.31222671270370483,0.2603857219219208,0.21542324125766754,0.21196439862251282]"
e2a2ef9c18627ab5773229786424db9f7159181d6c5098de65cf4aa9e701124a,carpet,calibration,24,"[6,12,18,24]","[0.25409531593322754,0.3276204764842987,0.3163094222545624,0.10197477042675018]","[0.25221148133277893,0.29191505908966064,0.2858071029186249,0.17006638646125793]"
